,index,index,Player,Mat,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,index,index
0,0,1,JC Buttler,17,(Rajasthan Royals),17,2,863,116,57.53,579,149.05,4,4,0,83,45,0,1
1,2,3,KL Rahul,15,(Lucknow Super Giants),15,3,616,103*,51.33,455,135.38,2,4,3,45,30,2,3
2,4,5,Q de Kock,15,(Lucknow Super Giants),15,1,508,140*,36.28,341,148.97,1,3,0,47,23,4,5
3,6,7,HH Pandya,15,(Gujarat Titans),15,4,487,87*,44.27,371,131.26,0,4,0,49,12,6,7
4,8,9,Shubman Gill,16,(Gujarat Titans),16,2,483,96,34.50,365,132.32,0,4,2,51,11,8,9
5,10,11,DA Miller,16,(Gujarat Titans),16,9,481,94*,68.71,337,142.72,0,2,0,32,23,10,11
6,12,13,F du Plessis,16,(Royal Challengers Bangalore),16,1,468,96,31.20,367,127.52,0,3,2,49,13,12,13
7,14,15,S Dhawan,14,(Punjab Kings),14,2,460,88*,38.33,375,122.66,0,3,0,47,12,14,15
8,16,17,SV Samson,17,(Rajasthan Royals),17,1,458,55,28.62,312,146.79,0,2,0,43,26,16,17
9,18,19,DJ Hooda,15,(Lucknow Super Giants),14,0,451,59,32.21,330,136.66,0,4,0,36,18,18,19
10,20,21,LS Livingstone,14,(Punjab Kings),14,2,437,70,36.41,240,182.08,0,4,0,29,34,20,21
11,22,23,DA Warner,12,(Delhi Capitals),12,3,432,92*,48.00,287,150.52,0,5,1,52,15,22,23
12,24,25,Abhishek Sharma,14,(Sunrisers Hyderabad),14,0,426,75,30.42,320,133.12,0,2,1,47,13,24,25
13,26,27,Ishan Kishan,14,(Mumbai Indians),14,1,418,81*,32.15,348,120.11,0,3,1,45,11,26,27
14,28,29,RA Tripathi,14,(Sunrisers Hyderabad),14,3,413,76,37.54,261,158.23,0,3,2,40,20,28,29
15,30,31,SS Iyer,14,(Kolkata Knight Riders),14,1,401,85,30.84,298,134.56,0,3,0,41,11,30,31
16,32,33,NT Tilak Varma,14,(Mumbai Indians),14,3,397,61,36.09,303,131.02,0,2,1,29,16,32,33
17,34,35,AK Markram,14,(Sunrisers Hyderabad),12,4,381,68*,47.62,274,139.05,0,3,0,25,19,34,35
18,36,37,D Padikkal,17,(Rajasthan Royals),17,0,376,54,22.11,306,122.87,0,1,1,40,14,36,37
19,38,39,RD Gaikwad,14,(Chennai Super Kings),14,0,368,99,26.28,291,126.46,0,3,2,33,14,38,39
20,40,41,N Rana,14,(Kolkata Knight Riders),14,1,361,57,27.76,251,143.82,0,2,1,29,22,40,41
21,42,43,V Kohli,16,(Royal Challengers Bangalore),16,1,341,73,22.73,294,115.98,0,2,3,32,8,42,43
22,44,45,RR Pant,14,(Delhi Capitals),13,2,340,44,30.90,224,151.78,0,0,0,35,16,44,45
23,46,47,AD Russell,14,(Kolkata Knight Riders),12,3,335,70*,37.22,192,174.47,0,1,2,18,32,46,47
24,48,49,RM Patidar,8,(Royal Challengers Bangalore),7,1,333,112*,55.50,218,152.75,1,2,0,27,18,48,49
25,50,51,KD Karthik,16,(Royal Challengers Bangalore),16,10,330,66*,55.00,180,183.33,0,1,1,27,22,50,51
26,52,53,WP Saha,11,(Gujarat Titans),11,1,317,68,31.70,259,122.39,0,3,1,40,7,52,53
27,54,55,SO Hetmyer,15,(Rajasthan Royals),15,8,314,59*,44.85,204,153.92,0,1,0,21,21,54,55
28,56,57,N Pooran,14,(Sunrisers Hyderabad),13,5,306,64*,38.25,212,144.33,0,2,1,16,21,56,57
29,58,59,SA Yadav,8,(Mumbai Indians),8,1,303,68*,43.28,208,145.67,0,3,0,23,16,58,59
30,60,61,GJ Maxwell,13,(Royal Challengers Bangalore),13,2,301,55,27.36,178,169.10,0,1,1,31,15,60,61
31,62,63,S Dube,11,(Chennai Super Kings),11,1,289,95*,28.90,185,156.21,0,2,1,22,16,62,63
32,64,65,PP Shaw,10,(Delhi Capitals),10,0,283,61,28.30,185,152.97,0,2,1,37,10,64,65
33,66,67,AT Rayudu,13,(Chennai Super Kings),11,0,274,78,24.90,224,122.32,0,1,0,25,15,66,67
34,68,69,RG Sharma,14,(Mumbai Indians),14,0,268,48,19.14,223,120.17,0,0,1,28,13,68,69
35,70,71,YBK Jaiswal,10,(Rajasthan Royals),10,0,258,68,25.80,194,132.98,0,2,0,28,10,70,71
36,72,73,JM Bairstow,11,(Punjab Kings),11,0,253,66,23.00,175,144.57,0,2,0,34,9,72,73
37,74,75,DP Conway,7,(Chennai Super Kings),7,1,252,87,42.00,173,145.66,0,3,1,22,12,74,75
38,76,77,MR Marsh,8,(Delhi Capitals),8,0,251,89,31.37,189,132.80,0,2,1,19,14,76,77
39,78,79,R Powell,14,(Delhi Capitals),12,2,250,67*,25.00,167,149.70,0,1,2,10,22,78,79
40,80,81,MM Ali,10,(Chennai Super Kings),10,0,244,93,24.40,177,137.85,0,1,2,24,11,80,81
41,82,83,JM Sharma,12,(Punjab Kings),10,2,234,44,29.25,143,163.63,0,0,0,22,12,82,83
42,84,85,MS Dhoni,14,(Chennai Super Kings),13,6,232,50*,33.14,188,123.40,0,1,0,21,10,84,85
43,86,87,RV Uthappa,12,(Chennai Super Kings),11,0,230,88,20.90,171,134.50,0,2,1,19,14,86,87
44,88,89,Shahbaz Ahmed,16,(Royal Challengers Bangalore),11,3,219,45,27.37,181,120.99,0,0,0,14,9,88,89
45,90,91,R Tewatia,16,(Gujarat Titans),12,5,217,43*,31.00,147,147.61,0,0,0,22,9,90,91
46,92,93,KS Williamson,13,(Sunrisers Hyderabad),13,2,216,57,19.63,231,93.50,0,1,1,16,8,92,93
47,94,95,PBB Rajapaksa,9,(Punjab Kings),9,0,206,43,22.88,129,159.68,0,0,0,16,13,94,95
48,96,97,MA Agarwal,13,(Punjab Kings),12,0,196,52,16.33,160,122.50,0,1,1,23,6,96,97
49,98,99,R Ashwin,17,(Rajasthan Royals),12,5,191,50,27.28,135,141.48,0,1,0,14,9,98,99
