,Player,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,YS Chahal,(Rajasthan Royals),17,17,68.0,0,527,27,5/40,19.51,7.75,15.1,1,1
1,PWH de Silva,(Royal Challengers Bangalore),16,16,57.0,1,430,26,5/18,16.53,7.54,13.1,1,1
2,K Rabada,(Punjab Kings),13,13,48.0,0,406,23,4/33,17.65,8.45,12.5,2,0
3,Umran Malik,(Sunrisers Hyderabad),14,14,49.1,1,444,22,5/25,20.18,9.03,13.4,1,1
4,Kuldeep Yadav,(Delhi Capitals),14,14,49.4,0,419,21,4/14,19.95,8.43,14.1,2,0
5,JR Hazlewood,(Royal Challengers Bangalore),12,12,46.3,1,377,20,4/25,18.85,8.10,13.9,1,0
6,Mohammed Shami,(Gujarat Titans),16,16,61.0,0,488,20,3/25,24.40,8.00,18.3,0,0
7,HV Patel,(Royal Challengers Bangalore),15,15,53.3,2,410,19,4/34,21.57,7.66,16.8,1,0
8,Rashid Khan,(Gujarat Titans),16,16,63.5,0,421,19,4/24,22.15,6.59,20.1,1,0
9,M Prasidh Krishna,(Rajasthan Royals),17,17,66.3,3,551,19,3/22,29.00,8.28,21.0,0,0
10,T Natarajan,(Sunrisers Hyderabad),11,11,43.0,0,406,18,3/10,22.55,9.44,14.3,0,0
11,Avesh Khan,(Lucknow Super Giants),13,13,47.4,1,416,18,4/24,23.11,8.72,15.8,1,0
12,AD Russell,(Kolkata Knight Riders),14,13,28.1,0,278,17,4/5,16.35,9.86,9.9,1,0
13,DJ Bravo,(Chennai Super Kings),10,10,34.2,1,299,16,3/20,18.68,8.70,12.8,0,0
14,KK Ahmed,(Delhi Capitals),10,10,39.1,0,315,16,3/25,19.68,8.04,14.6,0,0
15,UT Yadav,(Kolkata Knight Riders),12,12,48.0,2,339,16,4/23,21.18,7.06,18.0,1,0
16,Mukesh Choudhary,(Chennai Super Kings),13,13,45.3,0,424,16,4/46,26.50,9.31,17.0,1,0
17,TA Boult,(Rajasthan Royals),16,16,62.0,3,492,16,2/18,30.75,7.93,23.2,0,0
18,JJ Bumrah,(Mumbai Indians),14,14,53.2,2,383,15,5/10,25.53,7.18,21.3,0,1
19,SN Thakur,(Delhi Capitals),14,14,48.2,1,473,15,4/36,31.53,9.78,19.3,1,0
20,Mohsin Khan,(Lucknow Super Giants),9,9,33.0,2,197,14,4/16,14.07,5.96,14.1,1,0
21,TG Southee,(Kolkata Knight Riders),9,9,35.0,0,275,14,3/20,19.64,7.85,15.0,0,0
22,RD Chahar,(Punjab Kings),13,13,46.4,1,360,14,3/25,25.71,7.71,20.0,0,0
23,JO Holder,(Lucknow Super Giants),12,12,41.3,0,391,14,3/31,27.92,9.42,17.7,0,0
24,DR Sams,(Mumbai Indians),11,11,42.0,0,370,13,4/30,28.46,8.80,19.3,1,0
25,Ravi Bishnoi,(Lucknow Super Giants),14,14,54.0,0,456,13,2/22,35.07,8.44,24.9,0,0
26,M Theekshana,(Chennai Super Kings),9,9,35.0,0,261,12,4/33,21.75,7.45,17.5,1,0
27,B Kumar,(Sunrisers Hyderabad),14,14,52.1,2,383,12,3/22,31.91,7.34,26.0,0,0
28,LH Ferguson,(Gujarat Titans),13,13,47.4,0,427,12,4/28,35.58,8.95,23.8,1,0
29,R Ashwin,(Rajasthan Royals),17,17,67.0,0,503,12,3/17,41.91,7.50,33.5,0,0
30,OC McCoy,(Rajasthan Royals),7,7,25.5,0,237,11,3/23,21.54,9.17,14.0,0,0
31,Yash Dayal,(Gujarat Titans),9,9,32.0,0,296,11,3/40,26.90,9.25,17.4,0,0
32,KH Pandya,(Lucknow Super Giants),14,12,38.0,1,265,10,3/19,26.50,6.97,22.8,0,0
33,Arshdeep Singh,(Punjab Kings),14,14,50.0,0,385,10,3/37,38.50,7.70,30.0,0,0
34,A Nortje,(Delhi Capitals),6,6,22.2,0,217,9,3/42,24.11,9.71,14.8,0,0
35,M Ashwin,(Mumbai Indians),8,8,29.0,0,228,9,2/14,25.33,7.86,19.3,0,0
36,SP Narine,(Kolkata Knight Riders),14,14,56.0,0,312,9,2/21,34.66,5.57,37.3,0,0
37,PVD Chameera,(Lucknow Super Giants),12,12,44.0,0,384,9,2/17,42.66,8.72,29.3,0,0
38,Mohammed Siraj,(Royal Challengers Bangalore),15,15,51.0,0,514,9,2/30,57.11,10.07,34.0,0,0
39,MM Ali,(Chennai Super Kings),10,10,23.5,0,158,8,3/13,19.75,6.62,17.8,0,0
40,HH Pandya,(Gujarat Titans),15,10,30.3,0,222,8,3/17,27.75,7.27,22.8,0,0
41,RP Meredith,(Mumbai Indians),8,8,28.0,0,236,8,2/24,29.50,8.42,21.0,0,0
42,KR Sen,(Rajasthan Royals),7,7,25.1,0,237,8,4/20,29.62,9.41,18.8,1,0
43,Mustafizur Rahman,(Delhi Capitals),8,8,32.0,0,244,8,3/18,30.50,7.62,24.0,0,0
44,J Suchith,(Sunrisers Hyderabad),5,5,18.0,0,140,7,2/12,20.00,7.77,15.4,0,0
45,PJ Cummins,(Kolkata Knight Riders),5,5,19.5,0,212,7,3/22,30.28,10.68,17.0,0,0
46,AS Joseph,(Gujarat Titans),9,9,30.0,0,264,7,2/34,37.71,8.80,25.7,0,0
47,M Jansen,(Sunrisers Hyderabad),8,8,32.0,0,274,7,3/25,39.14,8.56,27.4,0,0
